AMPLOI,IDX,FREQ,Fréquent,Transitif,Intransitif,pronominale,Impersonnel,être,avoir,*,Défectif,BE,Afrique
Autorise la forme pronominale,0,35,,,,1,,,,,,,
Autorise la forme pronominale - Défectif - Impersonnel,1,1,,,,1,1,,,,1,,
Défectif,2,5,1,,,1,,,,,1,,
Fréquent,3,1,1,,,1,,,,,,,
Fréquent - Autorise la forme pronominale,4,11,1,,,1,,,,,,,
Fréquent - Impersonnel,5,1,1,,,1,1,,,,,,
Fréquent - Intransitif,6,34,1,,1,1,,,,,,,
Fréquent - Intransitif - Autorise la forme pronominale,7,12,1,,1,1,,,,,,,
Fréquent - Intransitif - Autorise la forme pronominale - Impersonnel,8,1,1,,1,1,1,,,,,,
Fréquent - Intransitif - Autorise la forme pronominale - Participe Passé Invariable,9,1,1,,1,1,,,,,,,
Fréquent - Intransitif - Autorise la forme pronominale - Se conjugue avec l'auxiliaire être aux temps composés,10,4,1,,1,1,,1,,,,,
Fréquent - Intransitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,11,1,1,,1,1,,1,1,,,,
Fréquent - Intransitif - Impersonnel,12,1,1,,1,1,1,,,,,,
Fréquent - Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,13,9,1,,1,1,,1,,,,,
Fréquent - Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,14,8,1,,1,1,,1,1,,,,
Fréquent - Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés - Défectif - Impersonnel,15,1,1,,1,1,1,1,1,,1,,
Fréquent - Intransitif - Transitif,16,73,1,1,1,1,,,,,,,
Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,155,1,1,1,1,,,,,,,
Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec l'auxiliaire être aux temps composés,18,1,1,1,1,1,,1,,,,,
Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,19,1,1,1,1,,1,1,,,,
Fréquent - Intransitif - Transitif - Contient un h aspiré,20,1,1,1,1,1,,,,1,,,
Fréquent - Intransitif - Transitif - Impersonnel,21,1,1,1,1,1,1,,,,,,
Fréquent - Intransitif - Transitif - Se conjugue avec l'auxiliaire être aux temps composés,22,1,1,1,1,1,,1,,,,,
Fréquent - Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,23,7,1,1,1,1,,1,1,,,,
Fréquent - Transitif,24,125,1,1,,1,,,,,,,
Fréquent - Transitif - Autorise la forme pronominale,25,334,1,1,,1,,,,,,,
Fréquent - Transitif - Autorise la forme pronominale - Contient un h aspiré,26,3,1,1,,1,,,,1,,,
Fréquent - Transitif - Contient un h aspiré,27,1,1,1,,1,,,,1,,,
Impersonnel,28,5,,,,1,1,,,,,,
Intransitif,29,141,,,1,1,,,,,,,
Intransitif - Autorise la forme pronominale,30,16,,,1,1,,,,,,,
Intransitif - Autorise la forme pronominale - S'utilise en Belgique,31,1,,,1,1,,,,,,1,
Intransitif - Contient un h aspiré,32,2,,,1,1,,,,1,,,
Intransitif - Défectif,33,8,,,1,1,,,,,1,,
Intransitif - Défectif - Impersonnel,34,1,,,1,1,1,,,,1,,
Intransitif - Impersonnel,35,3,,,1,1,1,,,,,,
Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,36,4,,,1,1,,1,,,,,
Intransitif - Se conjugue avec l'auxiliaire être aux temps composés - Défectif,37,1,,,1,1,,1,,,1,,
Intransitif - Se conjugue avec l'auxiliaire être aux temps composés - Impersonnel,38,1,,,1,1,1,1,,,,,
Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,39,12,,,1,1,,1,1,,,,
Intransitif - S'utilise en Belgique,40,2,,,1,1,,,,,,1,
Intransitif - Transitif,41,103,,1,1,1,,,,,,,
Intransitif - Transitif - Autorise la forme pronominale,42,56,,1,1,1,,,,,,,
Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,43,2,,1,1,1,,1,1,,,,
Intransitif - Transitif - Contient un h aspiré,44,3,,1,1,1,,,,1,,,
Intransitif - Transitif - Défectif,45,2,,1,1,1,,,,,1,,
Intransitif - Transitif - Se conjugue avec l'auxiliaire être aux temps composés,46,1,,1,1,1,,1,,,,,
Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,47,6,,1,1,1,,1,1,,,,
Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés - Impersonnel,48,1,,1,1,1,1,1,1,,,,
Transitif,49,440,,1,,1,,,,,,,
Transitif - Autorise la forme pronominale,50,269,,1,,1,,,,,,,
Transitif - Autorise la forme pronominale - Défectif,51,1,,1,,1,,,,,1,,
Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,52,1,,1,,1,,1,1,,,,
Transitif - Autorise la forme pronominale - S'utilise en Afrique,53,1,,1,,1,,,,,,,1
Transitif - Contient un h aspiré,54,8,,1,,1,,,,1,,,
Transitif - Défectif,55,5,,1,,1,,,,,1,,
Transitif - Défectif - Impersonnel,56,1,,1,,1,1,,,,1,,
Transitif - Se conjugue avec l'auxiliaire être aux temps composés,57,2,,1,,1,,1,,,,,
Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,58,1,,1,,1,,1,1,,,,
Transitif - S'utilise en Afrique,59,1,,1,,1,,,,,,,1